Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
2014,9,30,23,30,0,0,0,0,0,0
2014,10,1,0,0,0,0,0,0,0,0
2014,10,1,0,30,0,0,0,0,0,0
2014,10,1,1,0,0,0,0,0,0,0
2014,10,1,1,30,0,0,0,0,0,0
2014,10,1,2,0,0,0,0,0,0,0
2014,10,1,2,30,0,0,0,0,0,0
2014,10,1,3,0,0,0,0,0,0,0
2014,10,1,3,30,0,0,0,0,0,0
2014,10,1,4,0,0,0,0,0,0,0
2014,10,1,4,30,0,0,0,0,0,0
2014,10,1,5,0,0,0,0,0,0,0
2014,10,1,5,30,0,0,0,0,0,0
2014,10,1,6,0,14,157,21,0,0,0
2014,10,1,6,30,40,381,93,1,0,1
2014,10,1,7,0,53,546,180,2,0,2
2014,10,1,7,30,63,647,270,4,0,4
2014,10,1,8,0,71,715,357,23,0,23
2014,10,1,8,30,77,763,438,29,0,29
2014,10,1,9,0,81,797,511,145,0,145
2014,10,1,9,30,85,822,573,162,1,163
2014,10,1,10,0,88,840,624,138,0,138
2014,10,1,10,30,90,852,661,146,0,146
2014,10,1,11,0,91,860,685,158,0,158
2014,10,1,11,30,91,862,694,160,0,160
2014,10,1,12,0,91,860,688,220,10,227
2014,10,1,12,30,90,854,668,214,9,221
2014,10,1,13,0,88,843,634,40,0,40
2014,10,1,13,30,85,827,587,37,0,37
2014,10,1,14,0,82,804,527,85,0,85
2014,10,1,14,30,77,773,457,73,0,73
2014,10,1,15,0,71,732,378,67,0,67
2014,10,1,15,30,63,675,293,52,0,52
2014,10,1,16,0,53,600,205,30,0,30
2014,10,1,16,30,36,515,120,17,0,17
2014,10,1,17,0,31,418,60,8,0,8
2014,10,1,17,30,0,0,0,0,0,0
2014,10,1,18,0,0,0,0,0,0,0
2014,10,1,18,30,0,0,0,0,0,0
2014,10,1,19,0,0,0,0,0,0,0
2014,10,1,19,30,0,0,0,0,0,0
2014,10,1,20,0,0,0,0,0,0,0
2014,10,1,20,30,0,0,0,0,0,0
2014,10,1,21,0,0,0,0,0,0,0
2014,10,1,21,30,0,0,0,0,0,0
2014,10,1,22,0,0,0,0,0,0,0
2014,10,1,22,30,0,0,0,0,0,0
2014,10,1,23,0,0,0,0,0,0,0
2014,10,1,23,30,0,0,0,0,0,0
2014,10,2,0,0,0,0,0,0,0,0
2014,10,2,0,30,0,0,0,0,0,0
2014,10,2,1,0,0,0,0,0,0,0
2014,10,2,1,30,0,0,0,0,0,0
2014,10,2,2,0,0,0,0,0,0,0
2014,10,2,2,30,0,0,0,0,0,0
2014,10,2,3,0,0,0,0,0,0,0
2014,10,2,3,30,0,0,0,0,0,0
2014,10,2,4,0,0,0,0,0,0,0
2014,10,2,4,30,0,0,0,0,0,0
2014,10,2,5,0,0,0,0,0,0,0
2014,10,2,5,30,0,0,0,0,0,0
2014,10,2,6,0,13,148,19,8,0,8
2014,10,2,6,30,39,380,91,39,0,39
2014,10,2,7,0,52,549,178,75,5,76
2014,10,2,7,30,62,652,268,110,14,115
2014,10,2,8,0,69,721,355,131,5,133
2014,10,2,8,30,75,770,437,159,10,164
2014,10,2,9,0,79,805,510,70,0,70
2014,10,2,9,30,83,830,573,79,0,79
2014,10,2,10,0,86,848,623,203,9,209
2014,10,2,10,30,87,861,661,214,11,222
2014,10,2,11,0,89,868,684,148,0,148
2014,10,2,11,30,89,871,693,150,0,150
2014,10,2,12,0,89,869,688,142,0,142
2014,10,2,12,30,88,863,668,138,0,138
2014,10,2,13,0,86,853,634,297,169,406
2014,10,2,13,30,83,837,586,271,174,375
2014,10,2,14,0,80,815,527,96,0,96
2014,10,2,14,30,75,785,456,83,0,83
2014,10,2,15,0,69,744,377,74,0,74
2014,10,2,15,30,62,689,292,58,0,58
2014,10,2,16,0,51,615,204,69,0,69
2014,10,2,16,30,33,539,118,40,0,40
2014,10,2,17,0,0,0,0,0,0,0
2014,10,2,17,30,0,0,0,0,0,0
2014,10,2,18,0,0,0,0,0,0,0
2014,10,2,18,30,0,0,0,0,0,0
2014,10,2,19,0,0,0,0,0,0,0
2014,10,2,19,30,0,0,0,0,0,0
2014,10,2,20,0,0,0,0,0,0,0
2014,10,2,20,30,0,0,0,0,0,0
2014,10,2,21,0,0,0,0,0,0,0
2014,10,2,21,30,0,0,0,0,0,0
2014,10,2,22,0,0,0,0,0,0,0
2014,10,2,22,30,0,0,0,0,0,0
2014,10,2,23,0,0,0,0,0,0,0
2014,10,2,23,30,0,0,0,0,0,0
2014,10,3,0,0,0,0,0,0,0,0
2014,10,3,0,30,0,0,0,0,0,0
2014,10,3,1,0,0,0,0,0,0,0
2014,10,3,1,30,0,0,0,0,0,0
2014,10,3,2,0,0,0,0,0,0,0
2014,10,3,2,30,0,0,0,0,0,0
2014,10,3,3,0,0,0,0,0,0,0
2014,10,3,3,30,0,0,0,0,0,0
2014,10,3,4,0,0,0,0,0,0,0
2014,10,3,4,30,0,0,0,0,0,0
2014,10,3,5,0,0,0,0,0,0,0
2014,10,3,5,30,0,0,0,0,0,0
2014,10,3,6,0,12,145,18,12,145,18
2014,10,3,6,30,40,393,92,40,393,92
2014,10,3,7,0,53,572,182,77,18,81
2014,10,3,7,30,63,678,274,114,27,123
2014,10,3,8,0,70,749,364,161,89,196
2014,10,3,8,30,76,799,448,199,89,241
